e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
2.7584964771946856, 0.30513522556960593, 6.690450861000936e-07, builtin_interfaces.msg.Time(sec=1697809491, nanosec=8393600), 
2.7584964771946856, 0.3004413376205502, 3.5911250067665307e-07, builtin_interfaces.msg.Time(sec=1697809491, nanosec=57713947), 
2.7541836377391107, 0.27279884319095554, -0.02890921288849055, builtin_interfaces.msg.Time(sec=1697809491, nanosec=107442494), 
2.736307935174839, 0.26195762998571376, -0.15842801185415845, builtin_interfaces.msg.Time(sec=1697809491, nanosec=153447920), 
2.7163171744015866, 0.2445058162840928, -0.28093541086616186, builtin_interfaces.msg.Time(sec=1697809491, nanosec=197456215), 
2.6856251841908816, 0.25259494052146797, -0.35584126552095124, builtin_interfaces.msg.Time(sec=1697809491, nanosec=247502348), 
2.647380612513295, 0.2664031206980472, -0.4564507827168282, builtin_interfaces.msg.Time(sec=1697809491, nanosec=298085161), 
2.5901428566816, 0.2868229452063506, -0.5692020664199859, builtin_interfaces.msg.Time(sec=1697809491, nanosec=358238690), 
2.5353610528726596, 0.2777102176823362, -0.6869640761429148, builtin_interfaces.msg.Time(sec=1697809491, nanosec=407619942), 
2.47375253488217, 0.24785666057402023, -0.7739372659069662, builtin_interfaces.msg.Time(sec=1697809491, nanosec=458433296), 
2.403334635120351, 0.23991488433197472, -0.883060483010476, builtin_interfaces.msg.Time(sec=1697809491, nanosec=507445776), 
2.2660812428277586, 0.3172651109803802, -0.9817064955206497, builtin_interfaces.msg.Time(sec=1697809491, nanosec=598439358), 
2.115523981718564, 0.40223679179514493, -1.0089948935518898, builtin_interfaces.msg.Time(sec=1697809491, nanosec=697581551), 
1.9482403123779282, 0.40734919142999815, -1.0133804336313366, builtin_interfaces.msg.Time(sec=1697809491, nanosec=807525059), 
1.80154399366684, 0.3780855088692596, -0.9965404297834729, builtin_interfaces.msg.Time(sec=1697809491, nanosec=907449037), 
1.6765823960518658, 0.3200871675696282, -0.9471323841191946, builtin_interfaces.msg.Time(sec=1697809491, nanosec=998441514), 
1.5395795975021382, 0.2929079467051762, -0.9178558907574016, builtin_interfaces.msg.Time(sec=1697809492, nanosec=97700939), 
1.3999247365570726, 0.29260686752552567, -0.8842178481154331, builtin_interfaces.msg.Time(sec=1697809492, nanosec=207457656), 
1.2866796678540648, 0.2698850477526808, -0.8016318115638258, builtin_interfaces.msg.Time(sec=1697809492, nanosec=307454038), 
1.1897991045751795, 0.23316754094283335, -0.7139728427482043, builtin_interfaces.msg.Time(sec=1697809492, nanosec=403429850), 
1.110358735656101, 0.20551294620956478, -0.6336339167421563, builtin_interfaces.msg.Time(sec=1697809492, nanosec=492541019), 
1.0205047636676134, 0.2122849672236124, -0.5490439682421328, builtin_interfaces.msg.Time(sec=1697809492, nanosec=611449425), 
0.9589513478931444, 0.2022802891976534, -0.4748310289669641, builtin_interfaces.msg.Time(sec=1697809492, nanosec=703480072), 
0.8954925083447414, 0.1701411587557283, -0.43886522017566426, builtin_interfaces.msg.Time(sec=1697809492, nanosec=801446725), 
0.8436027882316424, 0.1603005683402219, -0.40381916039278365, builtin_interfaces.msg.Time(sec=1697809492, nanosec=893499084), 
0.7913511140144447, 0.16618591094994803, -0.33556497426493004, builtin_interfaces.msg.Time(sec=1697809493, nanosec=11449476), 
0.7479691072392827, 0.1563985631491352, -0.3063174407723381, builtin_interfaces.msg.Time(sec=1697809493, nanosec=102596708), 
0.7047536973789779, 0.13601418085142034, -0.3000892082426327, builtin_interfaces.msg.Time(sec=1697809493, nanosec=204444818), 
0.6673335907819649, 0.12753081589639897, -0.2811842222007349, builtin_interfaces.msg.Time(sec=1697809493, nanosec=293701753), 
0.613961913969634, 0.1277015129728073, -0.2895760302464144, builtin_interfaces.msg.Time(sec=1697809493, nanosec=412440640), 
0.5776683678207846, 0.12058849880625733, -0.2842326132215425, builtin_interfaces.msg.Time(sec=1697809493, nanosec=502452146), 
0.5361646370818551, 0.10293927596479, -0.2700625200982567, builtin_interfaces.msg.Time(sec=1697809493, nanosec=604432556), 
0.4992215450975763, 0.09583526097867621, -0.27250216707790403, builtin_interfaces.msg.Time(sec=1697809493, nanosec=694421547), 
0.4537758029969856, 0.0934884564599593, -0.2673954365315405, builtin_interfaces.msg.Time(sec=1697809493, nanosec=810456006), 
0.42303280573163704, 0.09012521573095761, -0.2361864971082693, builtin_interfaces.msg.Time(sec=1697809493, nanosec=907467000), 
0.39303666436918494, 0.07388991502618582, -0.21552632277282568, builtin_interfaces.msg.Time(sec=1697809493, nanosec=998453518), 
0.36043051484172395, 0.06863196290403452, -0.21920237023810393, builtin_interfaces.msg.Time(sec=1697809494, nanosec=97883627), 
0.333159599136998, 0.069931161357459, -0.1915955913508883, builtin_interfaces.msg.Time(sec=1697809494, nanosec=208356404), 
0.3114137839852713, 0.06527106353769475, -0.15541273806620484, builtin_interfaces.msg.Time(sec=1697809494, nanosec=307479563), 
0.29095653904204344, 0.055021245828061977, -0.14891038655167993, builtin_interfaces.msg.Time(sec=1697809494, nanosec=397461093), 
0.27381655142763606, 0.052127964529211236, -0.13269221016095933, builtin_interfaces.msg.Time(sec=1697809494, nanosec=497855069), 
0.2553477859730844, 0.05362824670265943, -0.11306575094277653, builtin_interfaces.msg.Time(sec=1697809494, nanosec=607481503), 
0.238244473037728, 0.04993808068315252, -0.11317790269092866, builtin_interfaces.msg.Time(sec=1697809494, nanosec=707463628), 
0.22520597771615591, 0.04278323784671921, -0.10531642047881003, builtin_interfaces.msg.Time(sec=1697809494, nanosec=797455314), 
