e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
1.2798625942752515, 0.14104288647134464, 6.99900175015597e-05, builtin_interfaces.msg.Time(sec=1697811502, nanosec=28394161), 
1.279868261490166, 0.14218154682789913, 8.545004988570793e-05, builtin_interfaces.msg.Time(sec=1697811502, nanosec=78002853), 
1.2798682613155237, 0.1267549529300362, 3.807827088442308e-05, builtin_interfaces.msg.Time(sec=1697811502, nanosec=127431661), 
1.2742437340457873, 0.12662621388869086, -0.03753828214488022, builtin_interfaces.msg.Time(sec=1697811502, nanosec=177376474), 
1.2629654358673374, 0.1262523334816512, -0.1126965985868188, builtin_interfaces.msg.Time(sec=1697811502, nanosec=227396656), 
1.251625354965853, 0.11365318325436291, -0.1678417182406323, builtin_interfaces.msg.Time(sec=1697811502, nanosec=268180949), 
1.232755250216264, 0.11158845050971364, -0.2191537417017253, builtin_interfaces.msg.Time(sec=1697811502, nanosec=317916206), 
1.196990603184153, 0.14312528680593375, -0.2971789127079391, builtin_interfaces.msg.Time(sec=1697811502, nanosec=387751885), 
1.1718868370451407, 0.12854787891071326, -0.38065506629310425, builtin_interfaces.msg.Time(sec=1697811502, nanosec=427609288), 
1.1348713538946449, 0.10086211488440158, -0.46166019034730493, builtin_interfaces.msg.Time(sec=1697811502, nanosec=476627258), 
1.094497626645173, 0.10840688482943758, -0.5207148183490377, builtin_interfaces.msg.Time(sec=1697811502, nanosec=526656451), 
1.0481036179869836, 0.10550941546878713, -0.5743989988961142, builtin_interfaces.msg.Time(sec=1697811502, nanosec=577294228), 
0.9643065208096475, 0.1364151725994981, -0.6129324249493578, builtin_interfaces.msg.Time(sec=1697811502, nanosec=668120985), 
0.849610755750729, 0.17836189553011658, -0.6285228434657251, builtin_interfaces.msg.Time(sec=1697811502, nanosec=787227888), 
0.7655726825588641, 0.1607947945828287, -0.6290735070849337, builtin_interfaces.msg.Time(sec=1697811502, nanosec=878153028), 
0.6774837812602493, 0.1285558522600173, -0.6051918089349431, builtin_interfaces.msg.Time(sec=1697811502, nanosec=976982766), 
0.5946547669171633, 0.11357280233441115, -0.5966915568699437, builtin_interfaces.msg.Time(sec=1697811503, nanosec=69142504), 
0.507947525067695, 0.09764464840392657, -0.588395397378516, builtin_interfaces.msg.Time(sec=1697811503, nanosec=169216498), 
0.41833758344515126, 0.0877662205782549, -0.5610397403681592, builtin_interfaces.msg.Time(sec=1697811503, nanosec=278940103), 
0.34980016599134456, 0.07197682949190314, -0.5101024718484645, builtin_interfaces.msg.Time(sec=1697811503, nanosec=374982065), 
0.2924932061633938, 0.055329894731703584, -0.4429999303068466, builtin_interfaces.msg.Time(sec=1697811503, nanosec=468106530), 
0.2366173391207198, 0.04573527591736929, -0.39107568859259406, builtin_interfaces.msg.Time(sec=1697811503, nanosec=568269996), 
0.18030554235973484, 0.03783490084693596, -0.35709758888684195, builtin_interfaces.msg.Time(sec=1697811503, nanosec=677944233), 
0.13725047979544547, 0.028514530800603326, -0.31747324105595154, builtin_interfaces.msg.Time(sec=1697811503, nanosec=776025414), 
0.10533706865670722, 0.020032164286032456, -0.26183880996283454, builtin_interfaces.msg.Time(sec=1697811503, nanosec=868116264), 
