e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
0.22873015528356444, 0.02076390986267694, 2.565326328262413e-07, builtin_interfaces.msg.Time(sec=1697814567, nanosec=764812425), 
0.22873032442352426, 0.02518590224733043, 1.4049743541976783e-06, builtin_interfaces.msg.Time(sec=1697814567, nanosec=813905022), 
0.22679982360309936, 0.02247878165959674, -0.012863640613111982, builtin_interfaces.msg.Time(sec=1697814567, nanosec=863925296), 
0.22258019334743728, 0.022262478283757058, -0.04099579301735296, builtin_interfaces.msg.Time(sec=1697814567, nanosec=913925055), 
0.2193464351036023, 0.019738056762820505, -0.055088420379944776, builtin_interfaces.msg.Time(sec=1697814567, nanosec=953911061), 
0.21323596640135523, 0.01944445362004375, -0.06673795679876104, builtin_interfaces.msg.Time(sec=1697814568, nanosec=5112550), 
0.20569481686571556, 0.020594762813733253, -0.09116328164330482, builtin_interfaces.msg.Time(sec=1697814568, nanosec=54033967), 
0.19792221384173747, 0.019495076410244443, -0.1036419347389818, builtin_interfaces.msg.Time(sec=1697814568, nanosec=103611228), 
0.19063574581289244, 0.02114948060089033, -0.09183939880526043, builtin_interfaces.msg.Time(sec=1697814568, nanosec=164975808), 
0.18472558810942374, 0.02041088015828603, -0.0796802836561218, builtin_interfaces.msg.Time(sec=1697814568, nanosec=214104205), 
0.16817376239633475, 0.0250462102565604, -0.09538220694913596, builtin_interfaces.msg.Time(sec=1697814568, nanosec=313906354), 
0.15404989387621537, 0.029417702330971587, -0.10692709335951249, builtin_interfaces.msg.Time(sec=1697814568, nanosec=405066377), 
0.14064178306129316, 0.026718900778489797, -0.09687309388338805, builtin_interfaces.msg.Time(sec=1697814568, nanosec=503884753), 
0.12480495935377356, 0.026456304675349266, -0.09187720690045297, builtin_interfaces.msg.Time(sec=1697814568, nanosec=617047574), 
0.11247561032544107, 0.02351299023386254, -0.08950983151412756, builtin_interfaces.msg.Time(sec=1697814568, nanosec=712934432), 
0.10104753897286467, 0.01910857353643285, -0.08372582206337947, builtin_interfaces.msg.Time(sec=1697814568, nanosec=806152363), 
0.08634576400748006, 0.016381305418845075, -0.0916486104412974, builtin_interfaces.msg.Time(sec=1697814568, nanosec=902651966), 
0.07217083683559478, 0.015080825210078733, -0.09279807961451016, builtin_interfaces.msg.Time(sec=1697814569, nanosec=15112462), 
0.059001885640048934, 0.012410456743531664, -0.08686202984778962, builtin_interfaces.msg.Time(sec=1697814569, nanosec=112991968), 
0.047915938225146504, 0.009046848496635928, -0.08548788898646442, builtin_interfaces.msg.Time(sec=1697814569, nanosec=203919127), 
0.03687615647476661, 0.0069644862629352905, -0.07821584946553468, builtin_interfaces.msg.Time(sec=1697814569, nanosec=301853469), 
0.026759282601519385, 0.005646361344146397, -0.06739990301895597, builtin_interfaces.msg.Time(sec=1697814569, nanosec=414924834), 
0.01994989525676749, 0.004192526288066721, -0.053204778774670426, builtin_interfaces.msg.Time(sec=1697814569, nanosec=512006266), 
-0.12852006550084616, -0.024336381988509702, -0.5596990988716349, builtin_interfaces.msg.Time(sec=1697814569, nanosec=604283452), 
-0.13579134865282327, -0.025807803720553284, -0.5611072656700602, builtin_interfaces.msg.Time(sec=1697814569, nanosec=702061111), 
-0.1420222194398355, -0.029794925493437, -0.04333061258002843, builtin_interfaces.msg.Time(sec=1697814569, nanosec=814074044), 
-0.15004671790406532, -0.03149957232205754, -0.04585895467145923, builtin_interfaces.msg.Time(sec=1697814569, nanosec=911992876), 
-0.15394926270307996, -0.02922662401626163, -0.04146772282919633, builtin_interfaces.msg.Time(sec=1697814570, nanosec=3919864), 
-0.1578456374987185, -0.03002732777499848, -0.02736270963720509, builtin_interfaces.msg.Time(sec=1697814570, nanosec=102225107), 
