e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
0.22706478844778444, 0.021614792213583416, 0.0, builtin_interfaces.msg.Time(sec=1697814486, nanosec=604019782), 
0.22706478844778444, 0.02177759426092865, 0.0, builtin_interfaces.msg.Time(sec=1697814486, nanosec=652188068), 
0.22706478844778444, 0.021834900645172312, 0.0, builtin_interfaces.msg.Time(sec=1697814486, nanosec=700181326), 
0.22706478844778444, 0.022020350815711697, 0.0, builtin_interfaces.msg.Time(sec=1697814486, nanosec=749166340), 
0.22706478844778444, 0.021753177984226862, 0.0, builtin_interfaces.msg.Time(sec=1697814486, nanosec=795982961), 
0.2260615202678372, 0.021391493412202436, -0.006994792008580653, builtin_interfaces.msg.Time(sec=1697814486, nanosec=843793207), 
0.22253767592944895, 0.025132104609293833, -0.025031405281075402, builtin_interfaces.msg.Time(sec=1697814486, nanosec=908917117), 
0.2192491114000803, 0.02463617963519369, -0.04124017136877527, builtin_interfaces.msg.Time(sec=1697814486, nanosec=956159362), 
0.21436785323542906, 0.02041138156426221, -0.057119293122462424, builtin_interfaces.msg.Time(sec=1697814487, nanosec=4133733), 
0.20802391660851705, 0.01994842852030375, -0.07804392953897403, builtin_interfaces.msg.Time(sec=1697814487, nanosec=52054242), 
0.2025209931548232, 0.019470244136535895, -0.08216947406927519, builtin_interfaces.msg.Time(sec=1697814487, nanosec=100273120), 
0.18210225243569833, 0.034983721988142785, -0.08534254231243595, builtin_interfaces.msg.Time(sec=1697814487, nanosec=244164562), 
0.16601762906283934, 0.0425228988571897, -0.09506835836977534, builtin_interfaces.msg.Time(sec=1697814487, nanosec=356407960), 
0.15062655719215778, 0.0313261233731684, -0.10135976412741514, builtin_interfaces.msg.Time(sec=1697814487, nanosec=452136675), 
0.13789576518130753, 0.02645279436396097, -0.09774938680443822, builtin_interfaces.msg.Time(sec=1697814487, nanosec=548239771), 
0.12243603901115818, 0.023428750571264916, -0.09825790485393937, builtin_interfaces.msg.Time(sec=1697814487, nanosec=643491694), 
0.10701948787485671, 0.02224208158835188, -0.09974733787264319, builtin_interfaces.msg.Time(sec=1697814487, nanosec=756071840), 
0.09737142026318213, 0.020307765201633677, -0.07915348299496622, builtin_interfaces.msg.Time(sec=1697814487, nanosec=852051507), 
0.08789007946883065, 0.016880785211691087, -0.06639872682986912, builtin_interfaces.msg.Time(sec=1697814487, nanosec=948138855), 
0.07940242478564286, 0.015199510149767977, -0.06256755324721755, builtin_interfaces.msg.Time(sec=1697814488, nanosec=43475260), 
0.0712642831975353, 0.014885561612376906, -0.053567903978769725, builtin_interfaces.msg.Time(sec=1697814488, nanosec=157017145), 
0.0669938911600414, 0.01397368543807759, -0.038869333981833905, builtin_interfaces.msg.Time(sec=1697814488, nanosec=252056747), 
0.06659072750583939, 0.009526132527904203, -0.017776441354222825, builtin_interfaces.msg.Time(sec=1697814488, nanosec=300072085), 
0.06745496965897613, 0.012991829112512919, -0.0008063828442324367, builtin_interfaces.msg.Time(sec=1697814488, nanosec=444656776), 
0.06743491424241521, 0.017330765744764883, 0.001933002122872395, builtin_interfaces.msg.Time(sec=1697814488, nanosec=557071978), 
0.06642438968664488, 0.01377650477271674, -0.003605687419483961, builtin_interfaces.msg.Time(sec=1697814488, nanosec=652058076), 
-0.08114854924056103, -0.01550582867778199, -0.5154539096108358, builtin_interfaces.msg.Time(sec=1697814488, nanosec=748151533), 
-0.08616889875068745, -0.01654423338757632, -0.5293568582429123, builtin_interfaces.msg.Time(sec=1697814488, nanosec=844055811), 
-0.08938409734203678, -0.018673482766270243, -0.02693281350730718, builtin_interfaces.msg.Time(sec=1697814488, nanosec=957064341), 
-0.09114487773324642, -0.01458317186970092, -0.021973741729752624, builtin_interfaces.msg.Time(sec=1697814489, nanosec=4055717), 
-0.10018439101087517, -0.014327856955158744, -0.043869617677270704, builtin_interfaces.msg.Time(sec=1697814489, nanosec=100079204), 
-0.10926625120316602, -0.026248976456345965, -0.052372313536684846, builtin_interfaces.msg.Time(sec=1697814489, nanosec=244285213), 
-0.11653567476563909, -0.029949608515432415, -0.042475782286862336, builtin_interfaces.msg.Time(sec=1697814489, nanosec=357078690), 
-0.11016381901063255, -0.02289443534003273, 0.000867751304005159, builtin_interfaces.msg.Time(sec=1697814489, nanosec=452106942), 
-0.0883716421071733, -0.016889437035643315, 0.09794712191100859, builtin_interfaces.msg.Time(sec=1697814489, nanosec=548196979), 
-0.07409887305739715, -0.015411269903044325, 0.11811567915301395, builtin_interfaces.msg.Time(sec=1697814489, nanosec=660089456), 
-0.06785115825118015, -0.014105202343337344, 0.06421456178553875, builtin_interfaces.msg.Time(sec=1697814489, nanosec=756081453), 
-0.05866674044433062, -0.011264103045423253, 0.05358244093106595, builtin_interfaces.msg.Time(sec=1697814489, nanosec=852090971), 
-0.04666067272189245, -0.008963956873142852, 0.07353155670377233, builtin_interfaces.msg.Time(sec=1697814489, nanosec=948190918), 
-0.03689942657371714, -0.007120588837675289, 0.07523217667309418, builtin_interfaces.msg.Time(sec=1697814490, nanosec=45063857), 
-0.02986492641324523, -0.006238632339713468, 0.054519696612320846, builtin_interfaces.msg.Time(sec=1697814490, nanosec=157085869), 
-0.029497035116286097, -0.004719550042150852, 0.02348782720658631, builtin_interfaces.msg.Time(sec=1697814490, nanosec=205064685), 
-0.031009677163829852, -0.005928985463498995, -0.0009646494800348909, builtin_interfaces.msg.Time(sec=1697814490, nanosec=348283779), 
-0.029270653037219985, -0.007464642184699767, 0.0016642418864188865, builtin_interfaces.msg.Time(sec=1697814490, nanosec=460086060), 
-0.14313375323667155, -0.029745260058308323, -0.3901231191151262, builtin_interfaces.msg.Time(sec=1697814490, nanosec=556098214), 
-0.1450123518306966, -0.02088222457660219, -0.4083562307710424, builtin_interfaces.msg.Time(sec=1697814490, nanosec=604089135), 
-0.15094697065191132, -0.028980103456633394, -0.026786052872589033, builtin_interfaces.msg.Time(sec=1697814490, nanosec=748086853), 
-0.15328391732723268, -0.039239987233354735, -0.02069309981182937, builtin_interfaces.msg.Time(sec=1697814490, nanosec=860084597), 
-0.1539809441324793, -0.03203137407050071, -0.0093749673082203, builtin_interfaces.msg.Time(sec=1697814490, nanosec=956108529), 
