e, e_dot, e_int, stamp, 
p_error, i_error, d_error, stamp, 
2.1547035354646518, 0.19968164703635705, 0.0, builtin_interfaces.msg.Time(sec=1697809101, nanosec=403389330), 
2.1547035354646518, 0.2392983602184581, 0.0, builtin_interfaces.msg.Time(sec=1697809101, nanosec=452252159), 
2.1547035354646518, 0.206977725307754, 0.0, builtin_interfaces.msg.Time(sec=1697809101, nanosec=499447893), 
2.1547035354646518, 0.20518527699478228, 0.0, builtin_interfaces.msg.Time(sec=1697809101, nanosec=547478845), 
2.1547035354646518, 0.21001927680726992, 0.0, builtin_interfaces.msg.Time(sec=1697809101, nanosec=596918043), 
2.1620954469087694, 0.4531072531742772, 0.01538737356682558, builtin_interfaces.msg.Time(sec=1697809101, nanosec=757047416), 
2.1677093269673366, 0.4561451406533087, 0.05259158537085435, builtin_interfaces.msg.Time(sec=1697809101, nanosec=807345306), 
2.1744152565071793, 0.22007420109694922, 0.08110883241873366, builtin_interfaces.msg.Time(sec=1697809101, nanosec=858258167), 
2.1808808292104844, 0.1986629664708665, 0.09754284146040249, builtin_interfaces.msg.Time(sec=1697809101, nanosec=898438301), 
2.1897403143464182, 0.19354843329683044, 0.11489617187545705, builtin_interfaces.msg.Time(sec=1697809101, nanosec=946646928), 
2.2105390642295677, 0.32737518085347267, 0.13066428674128516, builtin_interfaces.msg.Time(sec=1697809102, nanosec=46535743), 
2.2314826001715873, 0.42759154335155586, 0.14551299864872183, builtin_interfaces.msg.Time(sec=1697809102, nanosec=138264619), 
2.2578886415385435, 0.4758367683663676, 0.1500636876797011, builtin_interfaces.msg.Time(sec=1697809102, nanosec=257279869), 
2.275415235105058, 0.47560969072931697, 0.13886614833085456, builtin_interfaces.msg.Time(sec=1697809102, nanosec=347285673), 
2.2927171332640772, 0.43581947030328155, 0.12253438587074646, builtin_interfaces.msg.Time(sec=1697809102, nanosec=447368504), 
2.3079898562079824, 0.48459585076815626, 0.10395609624715246, builtin_interfaces.msg.Time(sec=1697809102, nanosec=557250136), 
2.3181490883503106, 0.48659122347911726, 0.08018700928109677, builtin_interfaces.msg.Time(sec=1697809102, nanosec=657273564), 
2.3239058087484192, 0.44164108345840586, 0.05517282295116623, builtin_interfaces.msg.Time(sec=1697809102, nanosec=747292728), 
2.326274266553639, 0.44202083082728627, 0.029212045293769667, builtin_interfaces.msg.Time(sec=1697809102, nanosec=847285910), 
2.324689146051966, 0.4882329881916523, 0.0030932062833323427, builtin_interfaces.msg.Time(sec=1697809102, nanosec=957313491), 
2.319634659924523, 0.48944706770975027, -0.02148792438751393, builtin_interfaces.msg.Time(sec=1697809103, nanosec=58287701), 
2.311421917596953, 0.4392879798299829, -0.04741856102589576, builtin_interfaces.msg.Time(sec=1697809103, nanosec=147364462), 
2.298653192329013, 0.4344890702945079, -0.07331985491315741, builtin_interfaces.msg.Time(sec=1697809103, nanosec=247306676), 
2.280507004959302, 0.4787607876929626, -0.09757852100266406, builtin_interfaces.msg.Time(sec=1697809103, nanosec=357300580), 
2.260653372145431, 0.4747141856565986, -0.12117297564870289, builtin_interfaces.msg.Time(sec=1697809103, nanosec=457296492), 
2.240307754214073, 0.42778928377309294, -0.14074425254710993, builtin_interfaces.msg.Time(sec=1697809103, nanosec=548251704), 
2.214300443136018, 0.4191171967681664, -0.16273307372047993, builtin_interfaces.msg.Time(sec=1697809103, nanosec=646573967), 
2.183644075541321, 0.4563994084873517, -0.18049272498214683, builtin_interfaces.msg.Time(sec=1697809103, nanosec=757259854), 
2.1545031351316513, 0.45396377084023254, -0.1894406942163737, builtin_interfaces.msg.Time(sec=1697809103, nanosec=857278590), 
2.1277012636808426, 0.4063911264730508, -0.19531374885080166, builtin_interfaces.msg.Time(sec=1697809103, nanosec=948259941), 
2.097900652302299, 0.3970524138157949, -0.199268876008906, builtin_interfaces.msg.Time(sec=1697809104, nanosec=46540371), 
2.0645660102042185, 0.43152558669513236, -0.2014172367434345, builtin_interfaces.msg.Time(sec=1697809104, nanosec=157275097), 
2.033534691798367, 0.42861336571105474, -0.2037424189491496, builtin_interfaces.msg.Time(sec=1697809104, nanosec=257312957), 
2.005968334942213, 0.38326938908674313, -0.20434466692540101, builtin_interfaces.msg.Time(sec=1697809104, nanosec=348339623), 
1.9759028028868377, 0.37382436881896686, -0.2030378972653283, builtin_interfaces.msg.Time(sec=1697809104, nanosec=446504636), 
1.941390571434233, 0.4056528842972641, -0.20593361910124255, builtin_interfaces.msg.Time(sec=1697809104, nanosec=557289275), 
1.9103690840579, 0.4010908131927554, -0.208112230733186, builtin_interfaces.msg.Time(sec=1697809104, nanosec=656459255), 
1.883127593647837, 0.3577379127973803, -0.20427577684335105, builtin_interfaces.msg.Time(sec=1697809104, nanosec=747259362), 
1.8493511075006934, 0.3711479696192798, -0.20246004212904342, builtin_interfaces.msg.Time(sec=1697809104, nanosec=857150172), 
1.8179384865148371, 0.38182577067627593, -0.20701549987712795, builtin_interfaces.msg.Time(sec=1697809104, nanosec=957291645), 
1.7869750909124773, 0.35768613072060584, -0.2077500113724442, builtin_interfaces.msg.Time(sec=1697809105, nanosec=57313080), 
1.759382896225431, 0.33601689131264517, -0.20429926764590953, builtin_interfaces.msg.Time(sec=1697809105, nanosec=148277298), 
1.729198439409051, 0.3253482765547828, -0.20463869012475477, builtin_interfaces.msg.Time(sec=1697809105, nanosec=245462843), 
1.6946433092205375, 0.35757961123745297, -0.20472655167227907, builtin_interfaces.msg.Time(sec=1697809105, nanosec=359283124), 
1.6645861733271723, 0.3509700079615747, -0.20446052593438227, builtin_interfaces.msg.Time(sec=1697809105, nanosec=456308045), 
1.6364804171575589, 0.31096935034036094, -0.20400186901308268, builtin_interfaces.msg.Time(sec=1697809105, nanosec=549306388), 
1.6061203167835112, 0.30523102875347236, -0.20502210297767465, builtin_interfaces.msg.Time(sec=1697809105, nanosec=646350488), 
